ID,GlideNumber,Country,OtherCountry,long,lat,Area,Began,Ended,Validation,Dead,Displaced,MainCause,Severity
73,0,Peru,,-69.0747,-16.1155,94944.29,1986-02-01,1986-05-01,News,0,300000,Torrential rain,2.0
121,0,Peru,0,-74.0575,-12.3047,29211.31,1987-02-01,1987-02-10,News,113,2000,Heavy rain,1.0
169,0,Peru,0,-72.4803,-12.823,5174.04,1988-02-22,1988-02-22,News,0,0,Heavy Rain,1.0
311,0,Chile,0,-70.6563,-33.4482,10675.38,1989-06-19,1989-06-21,News,0,0,Heavy rain,1.0
313,0,Peru,0,-80.5262,-5.5536,21796.2,1989-06-25,1989-06-29,News,0,0,Heavy rain,1.0
289,0,Peru,0,-76.7805,-11.5274,2956.89,1989-02-16,1989-02-22,News,60,1000,Heavy rain,1.0
397,0,Peru,0,-72.9381,-13.4786,132815.37,1990-02-20,1990-02-23,News,21,100,Heavy rain,1.0
486,0,Peru,0,-73.8493,-13.4786,111346.2,1990-12-28,1990-12-30,News,20,2000,Heavy rain,1.0
492,0,Ecuador,0,-79.6533,-1.31926,114114.99,1991-02-02,1991-02-08,News,14,300,Heavy rain,1.0
519,0,Colombia,0,-76.1732,6.78188,16501.33,1991-06-03,1991-06-07,News,57,239,Heavy rain,1.0
526,0,Chile,0,-69.9059,-23.4864,15852.58,1991-06-18,1991-06-19,News,120,30000,Torrential rain,1.0
628,0,Peru,0,-79.6066,-4.68836,40568.07,1992-03-03,1992-03-25,News,0,32000,Heavy rain,2.0
637,0,Ecuador,0,-79.5078,-1.794,109522.16,1992-03-24,1992-05-08,News,22,10000,Heavy rain,1.0
723,0,Colombia,0,-76.3694,7.62904,26875.51,1993-01-05,1993-01-05,News,16,0,Heavy rain,1.0
826,0,Colombia,0,-76.2,3.52764,4298.62,1994-01-31,1994-02-02,News,16,60000,Heavy rain,1.0
828,0,Peru,0,-77.0482,-8.13028,609261.38,1994-01-31,1994-02-20,News,63,12000,Heavy rain,1.0
831,0,Peru,0,-76.0086,-12.0008,27660.41,1994-02-27,1994-03-06,News,17,120000,Heavy rain,2.0
850,0,Colombia,0,-76.8547,2.1264,27784.17,1994-06-05,1994-06-09,News,2,240,Avalanche related,1.0
886,0,Ecuador,0,-78.9872,-2.21514,39018.9,1994-08-20,1994-08-24,News,5,500,Heavy rain,1.0
1145,0,Peru,0,-72.3791,-13.7619,7522.33,1997-02-17,1997-02-17,News,41,600,Heavy rain,1.0
1177,0,Chile,0,-69.2465,-22.673,224909.6,1997-08-15,1997-08-19,News,10,0,Heavy rain,1.0
1192,0,Colombia,0,-74.7673,9.43645,5122.89,1997-10-14,1997-10-16,News,2,15000,Heavy rain,1.0
1214,0,Ecuador,0,-80.1618,-2.75775,25946.27,1997-03-09,1997-03-24,News,12,1000,Heavy rain,1.0
1236,0,Chile,0,-71.9148,-36.9193,144383.48,1997-06-10,1997-06-24,News,20,51000,Heavy rain,2.0
1287,0,Ecuador,0,-79.7529,-1.66383,119920.44,1997-11-01,1997-11-30,News,27,10000,Heavy rain,1.0
1299,0,Peru,Ecuador,-72.7401,-10.0704,1990345.45,1997-11-15,1998-02-12,News,200,100000,Tropical cyclone,1.0
1303,0,Peru,Ecuador,-75.7124,-6.77841,1339873.49,1998-02-10,1998-03-15,News,364,0,Tropical cyclone,1.0
1509,0,Peru,0,-69.9695,-3.40199,184577.68,1999-05-13,1999-05-24,News,4,250000,Brief torrential rain,1.0
1607,0,Chile,0,-71.4062,-34.0886,84226.48,2000-06-05,2000-06-16,News,0,41000,Heavy rain,2.0
1608,0,Colombia,0,-74.6479,6.87616,25753.6,2000-06-05,2000-06-07,News,0,0,Heavy rain,1.0
1848,0,Peru,0,-73.8067,-3.16741,272804.86,2001-12-26,2001-12-29,News,6,20000,Heavy rain,1.0
1873,0,Peru,0,-73.808,-13.4554,333296.24,2002-02-04,2002-02-15,News,6,20000,Heavy rain,1.0
1890,0,Ecuador,0,-80.0304,-1.74037,71519.2,2002-03-06,2002-04-29,News,28,6000,Heavy rain,1.0
1898,0,Peru,0,-70.1647,-15.77,13766.51,2002-03-17,2002-03-31,News,13,500,Heavy rain,1.0
1932,0,Chile,0,-70.1631,-30.1182,166884.09,2002-05-24,2002-06-05,News,9,50000,Heavy rain,2.0
2042,0,Chile,0,-72.1311,-35.8628,62183.46,2002-08-24,2002-08-29,News,2,8000,Heavy rain,1.0
2084,0,Peru,0,-74.6846,-10.9711,6119.98,2002-11-09,2002-11-12,News,4,100,Heavy rain,1.0
2138,0,Peru,0,-70.4323,-13.3744,78942.02,2003-01-23,2003-02-10,News,7,12000,Heavy rain,1.0
2144,0,Peru,0,-72.102,-13.2385,36369.03,2003-01-28,2003-02-10,News,12,0,Heavy rain,1.0
2145,0,Peru,0,-69.31,-15.8735,65370.88,2003-01-28,2003-02-10,News,6,34000,Heavy rain,1.0
2414,0,Peru,0,-76.2224,-8.29307,73131.96,2004-01-08,2004-01-10,News,0,11000,Heavy rain,1.0
2468,0,Peru,0,-72.5289,-13.1078,271.875,2004-04-10,2004-04-11,News,1,50,Heavy rain,1.0
2517,0,Chile,0,-72.7137,-39.6445,4606.95,2004-06-30,2004-07-01,News,3,9000,Heavy rain,1.0
2574,0,Colombia,0,-73.785,9.15024,159581.94,2004-10-11,2004-11-30,News,30,300000,Heavy rain,1.0
2625,0,Colombia,Venezuela,-72.9646,7.58834,43716.57,2005-02-11,2005-02-26,News,95,70000,Heavy rain,1.0
2646,0,Colombia,0,-74.3223,6.35323,34532.06,2005-04-11,2005-04-14,News,11,0,Heavy rain,1.0
2679,0,Chile,0,-72.76,-36.9575,12209.92,2005-06-26,2005-06-28,News,5,800,Heavy rain,1.0
2761,0,Colombia,0,-75.311,8.52116,115246.52,2005-09-15,2005-12-16,News,95,100000,Heavy rain,1.0
2802,FL-2006-000034-ECU,Ecuador,0,-79.9807,-2.23169,61414.58,2006-02-16,2006-05-06,News,17,55000,Heavy rain,1.0
2823,FL-2006-000042-COL,Colombia,0,-75.5975,5.43477,157985.09,2006-03-22,2006-06-02,News,130,60000,Heavy rain,1.0
2920,0,Chile,0,-72.642,-37.2588,5035.05,2006-07-11,2006-07-17,News,15,30000,Heavy rain,1.0
3007,0,Peru,0,-75.9903,-9.18487,134599.05,2006-12-26,2007-02-02,News,6,46000,Heavy rain,1.0
3024,0,Peru,0,-74.4608,-11.4745,124921.44,2007-01-21,2007-02-10,News,38,5000,Heavy rain,1.0
3062,0,Colombia,0,-75.2114,4.50308,1940.49,2007-04-26,2007-05-02,News,17,2000,Heavy rain,1.0
3080,FL-2007-000068-COL,Colombia,0,-75.4261,7.37836,29773.22,2007-05-19,2007-06-27,News,14,3000,Heavy rain,1.0
3121,0,Colombia,0,-75.5933,8.3753,69988.11,2007-06-27,2007-09-10,News,43,700000,Heavy rain,1.0
3212,0,Colombia,0,-74.9063,7.89355,297814.6,2007-10-01,2007-12-10,News,90,266000,Heavy rain,1.0
