ID,GlideNumber,Country,OtherCountry,long,lat,Area,Began,Ended,Validation,Dead,Displaced,MainCause,Severity
54,0,Dominican Republic,0,-71.7971,18.8752,7757.79,1985-09-14,1985-09-15,News,12,895,Heavy rain,1.0
66,0,Jamaica,0,-77.2692,17.9531,3961.15,1985-11-19,1985-11-22,News,7,0,Tropical cyclone,1.0
85,0,Jamaica,,-76.2478,20.8066,81780.3,1986-06-04,1986-06-15,News,94,11860,Heavy rain,1.0
369,0,Antigua,0,-62.9478,17.5697,6052.93,1989-09-18,1989-09-21,News,14,50000,Tropical cyclone,1.0
409,0,Guyana,0,-58.5812,7.05753,32173.92,1990-04-25,1990-05-04,News,0,0,Heavy rain,1.0
478,0,Guyana,0,-57.425,6.08126,1757.83,1990-11-03,1990-11-08,News,0,0,Heavy rain,1.0
514,0,Jamaica,0,-77.2969,18.1334,7557.24,1991-05-21,1991-05-23,News,15,320000,Torrential rain,1.0
616,0,Puerto Rico,0,-66.4526,18.2253,7913.47,1992-01-05,1992-01-08,News,20,600,Heavy rain,1.0
622,0,Cuba,0,-77.9128,21.56,90431.11,1992-02-06,1992-02-10,News,0,9127,Heavy rain,2.0
745,0,Haiti,Cuba,-76.531,20.9476,73170.21,1993-05-31,1993-06-02,News,20,40000,Torrential rain,1.0
917,0,Haiti,0,-72.2583,18.9834,26426.95,1994-11-05,1994-11-15,News,400,0,Tropical cyclone,1.0
918,0,Jamaica,0,-77.272,18.12,11114.13,1994-11-06,1994-11-14,News,4,0,Tropical cyclone,1.0
919,0,Cuba,0,-78.0913,21.4949,84994.35,1994-11-06,1994-11-14,News,2,100000,Tropical cyclone,1.0
964,0,Cuba,0,-81.5247,22.3839,56146.8,1995-06-21,1995-06-23,News,3,5000,Heavy rain,1.0
993,0,Martinique,0,-61.3214,15.3651,51662.9,1995-09-05,1995-09-18,News,20,24000,Tropical cyclone,1.0
1014,0,Cuba,0,-83.7471,22.388,11847.67,1995-09-29,1995-09-30,News,0,4000,Tropical cyclone,1.0
1112,0,Puerto Rico,Dominican Republic,-66.4234,18.2334,11196.99,1996-09-11,1996-09-19,News,24,10000,Tropical Cyclone,1.0
1132,0,Haiti,0,-72.5452,19.7426,1037.99,1996-11-13,1996-11-17,News,18,160,Heavy Rain,1.0
1133,0,Dominican Republic,0,-70.8404,19.5692,6750.71,1996-11-17,1996-11-23,News,3,3000,Tropical Cyclone,1.0
1244,0,Cuba,0,-77.8865,21.5523,73126.82,1997-06-07,1997-06-11,News,1,8300,Heavy rain,1.0
1446,0,Dominican Republic,Haiti,-70.8401,18.6733,67469.38,1998-09-21,1998-09-22,News,353,11140,Tropical cyclone,1.0
1468,0,Dominican Republic,0,-70.7941,19.0446,32651.28,1998-11-10,1998-11-12,News,2,200,Heavy rain,1.0
1562,0,Dominican Republic,USA,-70.9329,19.5038,55652.77,1999-10-22,1999-10-26,News,4,0,Tropical cyclone,1.0
1643,0,Belize,Mexico,-88.3995,18.2855,3925.89,2000-10-01,2000-10-05,News,14,10621,Brief torrential rain,1.0
1823,0,Puerto Rico,0,-66.4289,18.2233,8801.88,2001-11-07,2001-11-15,News,0,250,Heavy rain,1.0
1948,0,Jamaica,0,-77.2006,17.9643,3012.07,2002-06-12,2002-06-16,News,7,400,Heavy rain,1.0
1951,0,Cuba,0,-79.4307,22.0018,15669.48,2002-06-12,2002-06-16,News,0,30000,Heavy rain,1.0
2207,0,Haiti,0,-65.8269,18.2528,1139.21,2003-04-16,2003-04-22,News,4,300,Heavy rain,1.0
2339,0,Haiti,0,-72.6439,19.1059,160.198,2003-08-29,2003-08-30,News,24,12000,Heavy rain,1.0
2380,0,Haiti,0,-70.9826,19.4794,21413.21,2003-11-10,2003-11-26,News,12,48000,Heavy rain,1.0
2400,0,Dominican Republic,0,-70.3175,18.3702,7224.1,2003-12-06,2003-12-08,News,8,1000,Tropical Cyclone,1.0
2413,0,Guyana,0,-58.3564,6.66256,16827.6,2004-01-05,2004-01-07,News,0,0,Heavy rain,1.0
2486,0,Dominican Republic,Haiti,-71.9034,18.5255,8904.89,2004-05-23,2004-06-01,News,3300,13000,Heavy rain,1.0
2562,0,Jamaica,USA,-83.2347,34.6172,363510.71,2004-09-08,2004-09-21,News,100,20000,Tropical cyclone,2.0
2566,0,Haiti,0,-81.9664,28.8006,109541.01,2004-09-15,2004-10-01,News,3006,280000,Tropical cyclone,1.0
2613,0,Guyana,0,-58.0383,6.60784,2339.48,2005-01-15,2005-02-25,News,31,375000,Heavy rain,2.0
2753,0,Jamaica,Haiti,-83.3284,22.4834,47853.29,2005-10-19,2005-10-25,News,24,100000,Tropical cyclone,1.0
2756,0,Haiti,Dominican Republic,-72.4696,18.9658,12264.27,2005-10-23,2005-10-26,News,26,1500,Tropical cyclone,1.0
2765,0,Jamaica,0,-76.937,18.1724,761.612,2005-11-15,2005-11-17,News,3,0,Heavy rain,1.0
2782,FL-2006-000009-GUY,Guyana,0,-58.6627,6.89182,24216.56,2006-01-08,2006-02-14,News,20,5000,Heavy rain,1.0
2840,0,Dominican Republic,0,-70.6918,19.4638,15650.91,2006-04-11,2006-04-15,News,1,0,Heavy rain,1.0
2858,FL-2006-000057-SUR,Suriname,0,-56.4844,3.41728,62043.81,2006-05-07,2006-05-29,News,3,22000,Heavy rain,2.0
2870,0,Cuba,0,-82.321,23.0443,1943.12,2006-05-23,2006-05-27,News,7,0,Heavy rain,1.0
