ID,GlideNumber,Country,OtherCountry,long,lat,Area,Began,Ended,Validation,Dead,Displaced,MainCause,Severity
2574,0,Colombia,0,-73.785,9.15024,159581.94,2004-10-11,2004-11-30,News,30,300000,Heavy rain,1.0
2625,0,Colombia,Venezuela,-72.9646,7.58834,43716.57,2005-02-11,2005-02-26,News,95,70000,Heavy rain,1.0
2646,0,Colombia,0,-74.3223,6.35323,34532.06,2005-04-11,2005-04-14,News,11,0,Heavy rain,1.0
2761,0,Colombia,0,-75.311,8.52116,115246.52,2005-09-15,2005-12-16,News,95,100000,Heavy rain,1.0
2823,FL-2006-000042-COL,Colombia,0,-75.5975,5.43477,157985.09,2006-03-22,2006-06-02,News,130,60000,Heavy rain,1.0
3062,0,Colombia,0,-75.2114,4.50308,1940.49,2007-04-26,2007-05-02,News,17,2000,Heavy rain,1.0
3080,FL-2007-000068-COL,Colombia,0,-75.4261,7.37836,29773.22,2007-05-19,2007-06-27,News,14,3000,Heavy rain,1.0
3121,0,Colombia,0,-75.5933,8.3753,69988.11,2007-06-27,2007-09-10,News,43,700000,Heavy rain,1.0
3212,0,Colombia,0,-74.9063,7.89355,297814.6,2007-10-01,2007-12-10,News,90,266000,Heavy rain,1.0
3283,0,Colombia,0,-75.4189,2.67812,3994.26,2008-03-11,2008-03-15,News,5,0,Heavy rain,1.0
3421,0,Colombia,0,-74.2318,8.99892,195388.17,2008-12-13,2008-12-14,News,2,0,Brief Torrential Rain,1.0
3452,FL-2009-000052-COL,Colombia,0,-76.5144,4.36564,72654.16,2009-02-12,2009-02-16,News,0,3000,Heavy Rain,1.5
4214,FL-2014-000163-COL,Colombia,,-75.544,4.59198,406009.51,2014-11-01,2014-12-20,News,44,0,Heavy Rain,1.5
4326,,Ecuador,Colombia,-79.7009,-0.786333,69541.98,2016-01-19,2016-01-29,News,7,2300,Torrential Rain,1.5
4420,,Colombia,,-76.4842,2.80694,22578.75,2016-12-01,2016-12-07,News,0,6,Torrential Rain,1.0
4442,,Colombia,,-76.2863,1.6911,117321.46,2017-01-05,2017-02-07,News,0,280,Heavy Rain,1.0
4448,,Colombia,,-72.6737,3.72258,128596.78,2017-02-23,2017-03-03,News,1,2000,Heavy Rain,1.0
4456,MS-2017-000033-COL,Colombia,,-76.1131,2.18701,28634.32,2017-04-01,2017-04-08,News,314,0,Heavy Rain,2.0
4537,,Colombia,,-74.2573,3.12814,50404.63,2017-11-07,2017-11-10,News,4,200,Heavy Rain,1.5
4662,,Colombia,Venezuela,-68.2941,2.75369,138376.07,2018-07-26,2018-09-04,FloodList,0,5000,Heavy Rain,1.5
4691,,Colombia,,-72.451,11.2344,19329.37,2018-10-05,2018-10-21,FloodLIst,0,0,Heavy Rain,1.0
4738,,Colombia,,-74.9996,5.21079,517907.89,2019-04-01,2019-04-20,FloodList,10,0,Torrential Rain,1.0
4760,,Colombia,,-73.8614,0.698152,193568.08,2019-06-21,2019-06-23,FloodList,2,0,Torrential Rain,1.0
4821,,Colombia,,-75.2965,7.7648,66443.64,2019-10-28,2019-11-06,FloodLIst,0,8400,Heavy Rain,1.5
4840,,Colombia,,-76.6822,6.78628,51192.41,2019-12-30,2020-01-05,FloodList,0,0,Heavy Rain,1.5
4855,,Colombia,,-73.9604,3.49981,127300.56,2019-12-25,2019-12-27,FloodList,8,15,Torrential Rain,1.5
4857,,Colombia,,-77.3255,1.69119,50331.67,2019-12-06,2019-12-12,FloodList,0,0,Heavy Rain,1.0
4878,,Colombia,,-72.6243,6.44993,34354.65,2020-03-14,2020-03-16,FloodList,1,400,Torrential Rain,1.0
4890,,Colombia,,-76.8801,7.49274,22501.07,2020-04-01,2020-04-03,FloodList,0,500,Heavy Rain,1.0
4945,,Colombia,,-75.2965,3.46299,259423.03,2020-07-05,2020-07-18,FloodList,5,660,Heavy Rain,1.5
4978,,Colombia,,-74.2078,9.99546,37556.5,2020-10-20,2020-11-09,FloodList,0,3000,Heavy Rain,1.5
4987,,Colombia,,-74.8759,8.55756,237001.31,2020-11-13,2020-11-23,FloodList,2,2000,Heavy Rain,1.5
5048,,Colombia,,-76.4224,7.30687,5150.18,2021-03-22,2021-03-23,FloodList,0,0,Torrential Rain,1.5
5051,,Colombia,,-73.0201,1.66438,257391.9,2021-04-01,2021-04-06,FloodList,3,0,Heavy Rain,1.0
5060,,Colombia,,-77.7214,2.28697,11140.33,2021-04-21,2021-04-30,FloodList,0,0,Heavy Rain,1.5
5109,,Colombia,,-72.5748,3.22666,50656.99,2021-08-13,2021-08-17,FloodList,3,100,Heavy Rain,1.0
5120,,Colombia,,-75.8904,9.00464,46072.5,2021-09-05,2021-09-26,FloodList,0,6000,Heavy Rain,1.0
