Name,Category,Color,City,Lat,Lon
Hospital de Villeta,General Hospital (Level 2),#e67e22,Colombia,5.0065968,-74.4701158
Clínica del Parque,General Hospital (Level 2),#e67e22,Colombia,4.5446278,-75.6629953
Hospital,General Hospital (Level 2),#e67e22,Colombia,4.1497926,-74.7221806
centro de Salud de Apulo,Primary Care (Level 1),#2ecc71,Apulo,4.5188762,-74.5954549
Hospital Marco Tulio Afanador,General Hospital (Level 2),#e67e22,Colombia,4.4570199,-74.6358162
Hospital San Juan Bautista,General Hospital (Level 2),#e67e22,Colombia,3.7268292,-75.4845993
Hospital Regional de San Gil,High Complexity (Level 3/4),#e74c3c,Colombia,6.5574587,-73.1300163
Hospital San Vicente de Paul,General Hospital (Level 2),#e67e22,Salento,4.6364789,-75.570895
Cruz roja,Emergency/First Response,#f1c40f,Colombia,4.9244432,-75.06458
Hospital Anzoátegui,General Hospital (Level 2),#e67e22,Colombia,4.6284726,-75.0961573
SOMA,General Hospital (Level 2),#e67e22,Colombia,6.2488833,-75.5645579
Clínica Versalles,General Hospital (Level 2),#e67e22,Colombia,5.0628269,-75.4978067
centro Médico,General Hospital (Level 2),#e67e22,Colombia,4.7628209,-75.1301726
Antigua Clínica Palermo,General Hospital (Level 2),#e67e22,Colombia,1.2255397,-77.2855082
Clínica El Laguito,Primary Care (Level 1),#2ecc71,Colombia,5.7247261,-72.9239039
San Juan De Dios,General Hospital (Level 2),#e67e22,Colombia,2.2698988,-75.8069899
Clínica La Estancia,General Hospital (Level 2),#e67e22,Colombia,2.4506816,-76.5971661
Hospital San José,General Hospital (Level 2),#e67e22,Colombia,6.40998,-72.4475011
Clínica Los Remansos,General Hospital (Level 2),#e67e22,Ibague,4.4368514,-75.2197028
Hospital San Antonio,General Hospital (Level 2),#e67e22,Colombia,5.0460829,-75.515039
Ips interlaken,Primary Care (Level 1),#2ecc71,Colombia,4.4441707,-75.2328312
Clínica de la Policía,General Hospital (Level 2),#e67e22,Colombia,5.0572068,-75.4793198
Medical Center,General Hospital (Level 2),#e67e22,Colombia,6.294778,-75.5525882
Hospital,General Hospital (Level 2),#e67e22,Colombia,3.2408083,-74.3539981
Centro Salud,General Hospital (Level 2),#e67e22,Colombia,3.0682754,-75.1388684
Nuestra Señora de Guadalupe,General Hospital (Level 2),#e67e22,Colombia,2.0234289,-75.7596495
Unidad Renal,Specialized,#3498db,Colombia,6.1948324,-75.5781105
ESE Salud Paz de Río,General Hospital (Level 2),#e67e22,Colombia,5.9859583,-72.7495746
Clínica de la Policía,General Hospital (Level 2),#e67e22,Colombia,6.1620713,-75.5987776
Hospital San Juan de Dios,General Hospital (Level 2),#e67e22,Colombia,6.2159978,-75.2389373
Centro Médico Familiar La Flora,General Hospital (Level 2),#e67e22,Colombia,3.4845799,-76.5154442
PROVIVIR LABORATORIO CLÍNICO No.2,General Hospital (Level 2),#e67e22,Colombia,3.4305796,-76.4948908
ÓPTICA FRANCESA,General Hospital (Level 2),#e67e22,Colombia,3.4518987,-76.5315611
FUNDACIÓN PARA EL DESARROLLO DE LA SALUD FAMILIAR Y SOCIAL- FAMISALUD,General Hospital (Level 2),#e67e22,Colombia,3.449362,-76.5348941
CENTRO ODONTOLÓGICO FAMILIAR VERSALLES CRUZ BLANCA EPS S.A.,Specialized,#3498db,Colombia,3.4608051,-76.5284877
Puesto de Salud Doce de Octubre,Primary Care (Level 1),#2ecc71,Colombia,3.432205,-76.5013507
Ciclo Vital Colombia Limitada,General Hospital (Level 2),#e67e22,Colombia,3.4489415,-76.5363103
AUDIOVIDA,General Hospital (Level 2),#e67e22,Cali,3.4678076,-76.5290915
Medicina Electrodiagnostica,General Hospital (Level 2),#e67e22,Colombia,3.4134963,-76.5350964
Consubsalud Ips E U,Primary Care (Level 1),#2ecc71,Colombia,3.3855722,-76.5200015
LABORATORIO CLÍNICO OSCAR COLLAZOS Y CIA,General Hospital (Level 2),#e67e22,Colombia,3.4172961,-76.5426557
