ID,GlideNumber,Country,OtherCountry,long,lat,Area,Began,Ended,Validation,Dead,Displaced,MainCause,Severity
54,0,Dominican Republic,0,-71.7971,18.8752,7757.79,1985-09-14,1985-09-15,News,12,895,Heavy rain,1.0
66,0,Jamaica,0,-77.2692,17.9531,3961.15,1985-11-19,1985-11-22,News,7,0,Tropical cyclone,1.0
73,0,Peru,,-69.0747,-16.1155,94944.29,1986-02-01,1986-05-01,News,0,300000,Torrential rain,2.0
82,0,Chile ,0,-71.0406,-33.0922,27913.34,1986-05-27,1986-05-29,News,8,17000,Torrential rain,1.0
85,0,Jamaica,,-76.2478,20.8066,81780.3,1986-06-04,1986-06-15,News,94,11860,Heavy rain,1.0
86,0,Chile ,0,-71.0406,-33.0922,27913.34,1986-06-15,1986-06-18,News,40,45000,Heavy rain,1.0
111,0,Haiti ,0,-72.9026,18.7575,1153.3,1986-10-23,1986-10-25,News,40,901,Heavy rain,1.0
121,0,Peru,0,-74.0575,-12.3047,29211.31,1987-02-01,1987-02-10,News,113,2000,Heavy rain,1.0
124,0,Ecuador  ,0,-77.4907,-0.131721,31908.09,1987-03-05,1987-03-07,News,300,15000,"Dam/Levy, break or release",1.0
125,0,Peru ,0,-76.7345,-11.8797,4672.27,1987-03-09,1987-03-11,News,12,1000,"Dam/Levy, break or release",1.0
128,0,Ecuador ,0,-79.4853,-2.54852,15796.42,1987-04-03,1987-04-05,News,100,3000,Torrential rain,1.0
134,0,Dominican Republic ,0,-71.0321,18.5812,7875.83,1987-05-30,1987-05-31,News,10,200,Heavy rain,1.0
140,0,Chile ,0,-71.1067,-33.8689,36283.59,1987-07-12,1987-07-18,News,47,90000,Heavy rain,1.0
158,0,Jamaica ,0,-76.9826,18.0492,4628.65,1987-10-30,1987-11-01,News,4,1000,Tropical cyclone,1.0
164,0,Dominican Republic ,0,-70.4315,19.321,10489.39,1988-02-01,1988-02-02,News,4,2000,Heavy rain,1.0
169,0,Peru,0,-72.4803,-12.823,5174.04,1988-02-22,1988-02-22,News,0,0,Heavy Rain,1.0
182,0,Cuba ,0,-79.1496,21.6272,34415.84,1988-05-30,1988-06-06,News,24,65000,Heavy rain,1.0
311,0,Chile,0,-70.6563,-33.4482,10675.38,1989-06-19,1989-06-21,News,0,0,Heavy rain,1.0
313,0,Peru,0,-80.5262,-5.5536,21796.2,1989-06-25,1989-06-29,News,0,0,Heavy rain,1.0
289,0,Peru,0,-76.7805,-11.5274,2956.89,1989-02-16,1989-02-22,News,60,1000,Heavy rain,1.0
369,0,Antigua,0,-62.9478,17.5697,6052.93,1989-09-18,1989-09-21,News,14,50000,Tropical cyclone,1.0
397,0,Peru,0,-72.9381,-13.4786,132815.37,1990-02-20,1990-02-23,News,21,100,Heavy rain,1.0
409,0,Guyana,0,-58.5812,7.05753,32173.92,1990-04-25,1990-05-04,News,0,0,Heavy rain,1.0
478,0,Guyana,0,-57.425,6.08126,1757.83,1990-11-03,1990-11-08,News,0,0,Heavy rain,1.0
486,0,Peru,0,-73.8493,-13.4786,111346.2,1990-12-28,1990-12-30,News,20,2000,Heavy rain,1.0
492,0,Ecuador,0,-79.6533,-1.31926,114114.99,1991-02-02,1991-02-08,News,14,300,Heavy rain,1.0
514,0,Jamaica,0,-77.2969,18.1334,7557.24,1991-05-21,1991-05-23,News,15,320000,Torrential rain,1.0
519,0,Colombia,0,-76.1732,6.78188,16501.33,1991-06-03,1991-06-07,News,57,239,Heavy rain,1.0
526,0,Chile,0,-69.9059,-23.4864,15852.58,1991-06-18,1991-06-19,News,120,30000,Torrential rain,1.0
616,0,Puerto Rico,0,-66.4526,18.2253,7913.47,1992-01-05,1992-01-08,News,20,600,Heavy rain,1.0
622,0,Cuba,0,-77.9128,21.56,90431.11,1992-02-06,1992-02-10,News,0,9127,Heavy rain,2.0
628,0,Peru,0,-79.6066,-4.68836,40568.07,1992-03-03,1992-03-25,News,0,32000,Heavy rain,2.0
637,0,Ecuador,0,-79.5078,-1.794,109522.16,1992-03-24,1992-05-08,News,22,10000,Heavy rain,1.0
723,0,Colombia,0,-76.3694,7.62904,26875.51,1993-01-05,1993-01-05,News,16,0,Heavy rain,1.0
735,0,Ecuador ,0,-78.9145,-2.88189,2470.84,1993-04-15,1993-04-15,News,77,25000,Torrential rain,1.0
737,0,Chile ,0,-71.6121,-33.3854,1261.76,1993-05-03,1993-05-03,News,21,1225,Heavy rain,1.0
741,0,Jamaica ,0,-77.3418,18.0135,3211.86,1993-05-19,1993-06-01,News,8,1600,Heavy rain,1.0
745,0,Haiti,Cuba,-76.531,20.9476,73170.21,1993-05-31,1993-06-02,News,20,40000,Torrential rain,1.0
768,0,Peru ,0,-73.5893,-4.86699,134855.86,1993-08-30,1993-08-30,News,0,300000,Heavy rain,1.0
800,0,Cuba ,0,-75.3512,20.5564,19322.92,1993-11-24,1993-11-28,News,30,51000,Torrential rain,1.0
807,0,Peru ,0,-74.5879,-10.0433,162327.61,1993-12-08,1993-12-15,News,0,5000,Heavy rain,1.0
826,0,Colombia,0,-76.2,3.52764,4298.62,1994-01-31,1994-02-02,News,16,60000,Heavy rain,1.0
828,0,Peru,0,-77.0482,-8.13028,609261.38,1994-01-31,1994-02-20,News,63,12000,Heavy rain,1.0
831,0,Peru,0,-76.0086,-12.0008,27660.41,1994-02-27,1994-03-06,News,17,120000,Heavy rain,2.0
